기준연도,학교명,재학생,1인당장학금
2012,부산가톨릭대학교,"4,017",2292600
2012,부산교육대학교,"1,815",1750700
2012,부산대학교,"21,154",1949600
2012,부산외국어대학교,"8,721",1979900
2012,부산장신대학교,273,2869400
2012,삼육대학교,"5,362",2165700
2012,상명대학교,"6,324",2880500
2012,상명대학교(천안) _분교,"6,111",3134800
2012,상지대학교,"7,893",2171400
2012,서강대학교,"8,143",2386800
2012,서경대학교,"6,331",1981700
2012,서남대학교,"1,178",1133000
2012,서남대학교 _제2캠퍼스,946,1047000
2012,서울과학기술대학교,"2,464",1564600
2012,서울과학기술대학교(산업대),"8,938",1790400
2012,서울교육대학교,"1,793",1271100
2012,서울기독대학교,733,2546200
2012,서울대학교,"16,377",2735800
2012,서울시립대학교,"8,771",1362400
2012,서울신학대학교,"2,274",2135400
2012,서울여자대학교,"7,778",2563800
2012,서울장신대학교,523,2063500
2012,서울한영대학교,728,1824400
2012,서원대학교,"6,362",2008200
2012,선문대학교,"9,365",2262400
2012,성결대학교,"5,332",1845800
2012,성공회대학교,"2,246",1741300
2012,성균관대학교,"18,694",2817600
2012,성신여자대학교,"10,048",2666500
2012,세명대학교,"7,929",2367600
2012,세종대학교,"10,765",2531400
2012,세한대학교,"3,943",2334600
2012,송원대학교,734,3290200
2012,수원가톨릭대학교,187,6458700
2012,수원대학교,"11,047",1971000
2012,숙명여자대학교,"10,550",2620900
2012,순복음총회신학교,203,1468000
2012,순천향대학교,"11,120",2159800
2012,숭실대학교,"13,915",2165300
2012,신경주대학교,"3,474",1847900
2012,신라대학교,"9,622",2113100
2012,아신대학교,706,1867300
2012,아주대학교,"9,759",2021400
2012,안양대학교,"4,612",2912100
2012,안양대학교 _제2캠퍼스,486,2467500
2012,연세대학교,"18,683",2852000
2012,연세대학교(미래) _분교,"7,803",2175900
2012,영남대학교,"23,083",1798000
2012,영남신학대학교,533,2192400
2012,영산대학교,"2,869",2007800
2012,영산대학교 _제2캠퍼스,"3,295",1640200
2012,영산대학교(산업대),171,1048600
2012,영산대학교(산업대) _제2캠퍼스,160,969600
2012,영산선학대학교,39,3058700
2012,예수대학교,594,2510700
2012,예원예술대학교,960,2022300
2012,예원예술대학교 _제2캠퍼스,0,0
2012,용인대학교,"6,097",1981300
2012,우석대학교,"7,639",1971900
2012,우송대학교,"7,979",2525300
2012,우송대학교(산업대),317,1190500
2012,울산과학기술원,"2,175",6185100
2012,울산대학교,"13,487",1830600
2012,원광대학교,"16,447",2569400
2012,위덕대학교,"2,823",2441800
2012,유원대학교,"3,096",1936500
2012,을지대학교,840,1955400
2012,을지대학교 _제2캠퍼스,"4,513",2271000
2012,이화여자대학교,"15,271",2359300
2012,인제대학교,"9,270",2047300
2012,인제대학교 _제2캠퍼스,891,1502700
2012,인천가톨릭대학교,110,4175500
2012,인천가톨릭대학교 _제2캠퍼스,622,2141300
2012,인천대학교,"13,681",1789900
2012,인하대학교,"18,299",1840100
2012,장로회신학대학교,655,2379000
2012,전남대학교,"16,865",1764500
2012,전남대학교 _제2캠퍼스,"3,174",1944200
2012,전북대학교,"18,478",1858400
2012,전주교육대학교,"1,461",1498000
2012,전주대학교,"10,976",2096900
2012,정석대학,168,0
2012,제주국제대학교,482,2113600
2012,제주대학교,"9,808",1853800
2012,조선대학교,"19,927",1884900
2012,중부대학교,"8,197",2096300
2012,중앙대학교,"13,498",2118100
2012,중앙대학교 _제2캠퍼스,"8,117",2210400
2012,중앙승가대학교,255,885700
2012,중원대학교,"1,544",3815800
2012,진주교육대학교,"1,632",1608500
2012,진주산업대학교(산업대),"3,203",1660800
2012,차의과학대학교,875,3013100
2012,청운대학교,"5,671",2232400
2012,청주교육대학교,"1,475",1500700
2012,청주대학교,"12,698",2044000
2012,초당대학교,"1,066",3226300
2012,초당대학교(산업대),"2,886",2307700
2012,총신대학교,"1,704",1966400
2012,추계예술대학교,"1,208",3361800
2012,춘천교육대학교,"1,610",1325100
