기준년도,학교,계열,편제정원,"재학생 충원율(%)
(B/A) × 100"
2012,신라대학교,자연과학계열,2011,95.9
2012,신라대학교,인문ㆍ사회계열,5223,108
2012,아신대학교,인문ㆍ사회계열,860,83.8
2012,아주대학교,의학계열,80,123.8
2012,아주대학교,공학계열,4012,129.3
2012,아주대학교,인문ㆍ사회계열,2676,132.8
2012,아주대학교,자연과학계열,1139,114.7
2012,안양대학교,예ㆍ체능계열,280,88.2
2012,안양대학교,공학계열,1515,105.9
2012,안양대학교,자연과학계열,390,97.7
2012,안양대학교,인문ㆍ사회계열,2283,109.6
2012,안양대학교 _제2캠퍼스,공학계열,280,89.6
2012,안양대학교 _제2캠퍼스,인문ㆍ사회계열,280,89.3
2012,연세대학교,예ㆍ체능계열,880,115.7
2012,연세대학교,의학계열,340,125.6
2012,연세대학교,공학계열,3744,123.9
2012,연세대학교,자연과학계열,2298,137.2
2012,연세대학교,인문ㆍ사회계열,6564,149.8
2012,연세대학교(미래) _분교,인문ㆍ사회계열,2380,132.5
2012,연세대학교(미래) _분교,의학계열,372,121.8
2012,연세대학교(미래) _분교,공학계열,932,126.3
2012,연세대학교(미래) _분교,자연과학계열,2934,110.1
2012,영남대학교,인문ㆍ사회계열,8594,125.1
2012,영남대학교,자연과학계열,3746,105.3
2012,영남대학교,공학계열,5350,130.8
2012,영남대학교,의학계열,152,118.4
2012,영남대학교,예ㆍ체능계열,2002,103.7
2012,영남신학대학교,인문ㆍ사회계열,560,97
2012,영산대학교,예ㆍ체능계열,460,77.6
2012,영산대학교,공학계열,635,75.7
2012,영산대학교,자연과학계열,345,112.2
2012,영산대학교,인문ㆍ사회계열,2441,74.2
2012,영산대학교 _제2캠퍼스,자연과학계열,540,109.4
2012,영산대학교 _제2캠퍼스,인문ㆍ사회계열,1436,138.2
2012,영산대학교 _제2캠퍼스,예ㆍ체능계열,800,97.5
2012,영산대학교 _제2캠퍼스,공학계열,120,70.8
2012,영산선학대학교,인문ㆍ사회계열,200,19.5
2012,예수대학교,자연과학계열,450,112.7
2012,예수대학교,인문ㆍ사회계열,104,86.5
2012,예원예술대학교,예ㆍ체능계열,867,103.9
2012,예원예술대학교,인문ㆍ사회계열,129,91.5
2012,용인대학교,인문ㆍ사회계열,1531,105.9
2012,용인대학교,자연과학계열,1061,107.2
2012,용인대학교,예ㆍ체능계열,3288,105.8
2012,우석대학교,공학계열,975,95.2
2012,우석대학교,예ㆍ체능계열,1435,90
2012,우석대학교,자연과학계열,2295,100.6
2012,우석대학교,인문ㆍ사회계열,3035,108.5
2012,우석대학교,의학계열,120,139.2
2012,우송대학교,예ㆍ체능계열,875,89
2012,우송대학교,공학계열,2480,82.7
