기준년도,학교,계열,편제정원,"재학생 충원율(%)
(B/A) × 100",학교_정규화
2010,신라대학교,예ㆍ체능계열,1310,91.8,신라대학교
2010,신라대학교,자연과학계열,1852,93.3,신라대학교
2010,신라대학교,공학계열,1412,92.8,신라대학교
2010,아신대학교,인문ㆍ사회계열,880,92.8,아신대학교
2010,아주대학교,의학계열,120,148.3,아주대학교
2010,아주대학교,예ㆍ체능계열,34,114.7,아주대학교
2010,아주대학교,인문ㆍ사회계열,2778,122.9,아주대학교
2010,아주대학교,공학계열,4062,122.8,아주대학교
2010,아주대학교,자연과학계열,1000,107.5,아주대학교
2010,안양대학교,인문ㆍ사회계열,2243,107.0,안양대학교
2010,안양대학교,자연과학계열,360,103.3,안양대학교
2010,안양대학교,공학계열,1585,99.4,안양대학교
2010,안양대학교,예ㆍ체능계열,280,92.9,안양대학교
2010,안양대학교 _제2캠퍼스,공학계열,280,82.1,안양대학교 _제2캠퍼스
2010,안양대학교 _제2캠퍼스,인문ㆍ사회계열,280,81.4,안양대학교 _제2캠퍼스
2010,연세대학교,예ㆍ체능계열,888,113.3,연세대학교
2010,연세대학교,의학계열,510,115.1,연세대학교
2010,연세대학교,공학계열,3752,122.2,연세대학교
2010,연세대학교,자연과학계열,2218,133.4,연세대학교
2010,연세대학교,인문ㆍ사회계열,6768,142.5,연세대학교
2010,연세대학교(미래) _분교,의학계열,372,117.2,연세대학교(미래) _분교
2010,연세대학교(미래) _분교,공학계열,945,118.1,연세대학교(미래) _분교
2010,연세대학교(미래) _분교,자연과학계열,2931,109.9,연세대학교(미래) _분교
2010,연세대학교(미래) _분교,인문ㆍ사회계열,2371,124.8,연세대학교(미래) _분교
2010,영남대학교,공학계열,5415,124.8,영남대학교
2010,영남대학교,자연과학계열,3675,104.6,영남대학교
2010,영남대학교,의학계열,228,112.3,영남대학교
2010,영남대학교,예ㆍ체능계열,1932,105.9,영남대학교
2010,영남대학교,인문ㆍ사회계열,8854,119.5,영남대학교
2010,영남신학대학교,인문ㆍ사회계열,560,102.7,영남신학대학교
2010,영산대학교,예ㆍ체능계열,450,55.3,영산대학교
2010,영산대학교,공학계열,640,44.8,영산대학교
2010,영산대학교,자연과학계열,170,72.9,영산대학교
2010,영산대학교,인문ㆍ사회계열,2900,66.5,영산대학교
2010,영산대학교 _제2캠퍼스,인문ㆍ사회계열,1210,83.1,영산대학교 _제2캠퍼스
2010,영산대학교 _제2캠퍼스,자연과학계열,570,70.5,영산대학교 _제2캠퍼스
2010,영산대학교 _제2캠퍼스,공학계열,60,93.3,영산대학교 _제2캠퍼스
2010,영산대학교 _제2캠퍼스,예ㆍ체능계열,800,71.3,영산대학교 _제2캠퍼스
2010,영산선학대학교,인문ㆍ사회계열,200,19.0,영산선학대학교
2010,예수대학교,자연과학계열,440,107.7,예수대학교
2010,예수대학교,인문ㆍ사회계열,120,60.8,예수대학교
2010,예원예술대학교,인문ㆍ사회계열,121,122.3,예원예술대학교
2010,예원예술대학교,예ㆍ체능계열,838,121.2,예원예술대학교
2010,용인대학교,인문ㆍ사회계열,1416,99.6,용인대학교
2010,용인대학교,자연과학계열,1136,107.4,용인대학교
2010,용인대학교,예ㆍ체능계열,3328,106.2,용인대학교
2010,우석대학교,인문ㆍ사회계열,3225,108.0,우석대학교
2010,우석대학교,자연과학계열,2165,100.0,우석대학교
2010,우석대학교,공학계열,975,100.3,우석대학교
2010,우석대학교,의학계열,120,131.7,우석대학교
2010,우석대학교,예ㆍ체능계열,1375,89.0,우석대학교
2010,우송대학교,예ㆍ체능계열,480,92.7,우송대학교
2010,우송대학교,공학계열,1220,89.5,우송대학교
2010,우송대학교,자연과학계열,590,95.4,우송대학교
2010,우송대학교,인문ㆍ사회계열,2104,100.8,우송대학교
2010,울산과학기술원,인문ㆍ사회계열,300,83.0,울산과학기술원
2010,울산과학기술원,공학계열,950,95.4,울산과학기술원
2010,울산대학교,예ㆍ체능계열,1395,97.7,울산대학교
2010,울산대학교,인문ㆍ사회계열,4325,110.7,울산대학교
2010,울산대학교,자연과학계열,1990,105.5,울산대학교
2010,울산대학교,공학계열,4250,121.8,울산대학교
2010,울산대학교,의학계열,160,100.6,울산대학교
2010,원광대학교,자연과학계열,3589,99.4,원광대학교
2010,원광대학교,인문ㆍ사회계열,7953,102.5,원광대학교
2010,원광대학교,공학계열,2734,94.8,원광대학교
2010,원광대학교,의학계열,1014,105.8,원광대학교
2010,원광대학교,예ㆍ체능계열,1989,92.4,원광대학교
2010,위덕대학교,인문ㆍ사회계열,1426,93.1,위덕대학교
2010,위덕대학교,자연과학계열,644,75.6,위덕대학교
2010,위덕대학교,공학계열,1103,63.0,위덕대학교
2010,위덕대학교,예ㆍ체능계열,387,69.3,위덕대학교
